,UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ,KidsCount,LogIncome,LogExpenditure
1,1,73720,1,27542.0001,3,11.20802941,10.22346739
2,1,12000,1,7415.5,2,9.392661929,8.911327683
3,1,20000,1,8607.5001,0,9.903487553,9.060389207
4,1,130500,1,20430.25,0,11.77912851,9.924771925
6,1,99000,2,10095.1499,0,11.50287513,9.21981038
7,1,18240,1,9592.75,0,9.811372264,9.168762884
8,1,164433,1,28575,0,12.01025847,10.26028749
9,1,35000,1,11115.5001,1,10.46310334,9.316095819
10,1,24000,1,4331.5,0,10.08580911,8.373669181
11,1,95000,1,11225.0001,0,11.46163217,9.325898722
12,1,94439,2,33826.4999,0,11.4557094,10.42899979
13,1,68291,1,7624.9499,0,11.13153327,8.939181031
14,1,14424,1,6601,5,9.576648765,8.794976432
15,1,23580,2,7890.4999,1,10.06815417,8.973414771
16,1,56000,1,10070.25,0,10.93310697,9.217340812
17,1,11000,1,5340.5001,0,9.305650552,8.583074579
18,1,32772,1,6839,0,10.39732977,8.830396801
19,1,18234,1,4231,0,9.811043262,8.350193651
20,2,3252,1,8310.75,0,8.087025471,9.025305136
21,1,61089,1,12180.1499,0,11.0200871,9.407562848
22,1,208854,1,28479.7833,1,12.24939072,10.25694976
23,1,96000,1,16724.9999,2,11.47210347,9.724659879
24,1,145200,1,28593.4977,0,11.88586738,10.26093462
25,1,42000,1,10319.25,0,10.6454249,9.241766362
27,2,17210,1,4987,0,9.753245889,8.514589806
28,1,75002,1,12204.5001,0,11.22527006,9.409560023
29,1,12000,1,7363,0,9.392661929,8.904222737
32,1,42702,1,11714,0,10.66200104,9.368539987
33,1,62000,1,6007.75,0,11.03488966,8.700805581
34,1,75000,2,9439.5001,0,11.22524339,9.152658302
35,1,43325,1,9365.9001,0,10.67648511,9.144830723
38,2,74316,1,20252,0,11.21608155,9.916008833
39,1,80000,1,14554,2,11.28978191,9.585621149
40,1,33000,1,15291.2501,1,10.40426284,9.635036055
41,1,17876,1,5500,0,9.79121431,8.612503371
42,1,34580,1,7969.7499,2,10.45103076,8.983408391
43,2,38072,1,13026,0,10.54723438,9.474702639
44,1,150000,1,15791.5332,0,11.91839057,9.667229202
45,1,168626,1,38758.0001,2,12.03543852,10.56509247
46,1,9000,1,5891.85,3,9.104979856,8.681325319
47,1,73000,2,6866.2501,0,11.19821472,8.834373399
48,1,56426,1,5653.2501,0,10.94068532,8.639985898
49,1,18576,1,5014,0,9.829625704,8.519989279
50,2,22626,1,11407,0,10.02685497,9.341982481
51,1,108540,1,13178.2,0,11.59487405,9.486319228
52,1,100000,1,13979.7999,0,11.51292546,9.545368702
54,1,32476,1,6424.7501,3,10.38825663,8.767913014
55,2,31000,1,6223.0001,1,10.34174248,8.736007401
56,1,388086,1,33572.6838,0,12.86898224,10.42146803
57,1,32684,1,14385,0,10.39464094,9.573941276
58,1,262500,1,20233.4999,0,12.47800636,9.915094921
59,1,70000,2,14260.75,1,11.15625052,9.565266287
61,1,129097,1,13539.5,0,11.76831934,9.513366618
62,1,210000,4,14354.25,0,12.25486281,9.571801345
63,1,19470,1,3205.5,0,9.876630098,8.072623363
64,1,27780,1,5276,0,10.23207162,8.570923514
65,1,578933,1,86510.5332,2,13.26894203,11.36802146
66,1,6000,1,3756.75,0,8.699514748,8.231309501
67,1,14948,1,6218.9501,1,9.612332791,8.735356377
68,1,52000,1,23598.7833,2,10.858999,10.06895043
69,1,15984,1,9678,0,9.679343501,9.177610547
71,1,109475,1,17549.4999,0,11.60345149,9.772780733
72,2,16304,1,8270.75,2,9.699165755,9.020480473
73,1,13840,1,12723,0,9.535318229,9.451166658
74,1,43000,1,13889.7,0,10.66895539,9.538902837
75,1,52000,1,8712.2999,1,10.858999,9.072491088
76,1,86927,1,14930.5,1,11.37282396,9.61116138
77,1,373284,1,36450.7832,2,12.8300948,10.50371822
78,2,40445,2,7304.9501,0,10.60769831,8.896307493
79,1,32983,1,3548.75,0,10.40374756,8.174350708
80,1,58326,2,7183,0,10.97380324,8.879472402
82,1,210906,1,20052.4834,0,12.25916782,9.906108285
83,1,12414,6,2091,0,9.426580147,7.645397699
84,1,184233,1,20361.25,0,12.12395654,9.921388864
85,1,12500,1,3376.0001,0,9.433483923,8.124446885
87,1,156800,1,43184.5001,3,11.96272639,10.67323692
88,1,12000,1,65605.8499,2,9.392661929,11.09142015
89,1,129860,1,14752.25,0,11.77421223,9.599150893
90,1,312829,4,218447.9665,1,12.65341199,12.29430313
91,1,2000,1,7653.9999,0,7.60090246,8.942983653
92,1,26000,1,4801.25,3,10.16585182,8.47663158
93,1,51176,1,5841,0,10.84302595,8.672657294
