UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ,KidsCount,LogIncome,LogExpenditure
1,73720,1,27542,3,11.21,10.22
1,12000,1,7416,2,9.39,8.91
1,20000,1,8608,0,9.90,9.06
1,130500,1,20430,0,11.78,9.92
1,99000,2,10095,0,11.50,9.22
1,18240,1,9593,0,9.81,9.17
1,164433,1,28575,0,12.01,10.26
1,35000,1,11116,1,10.46,9.32
1,24000,1,4332,0,10.09,8.37
1,95000,1,11225,0,11.46,9.33
1,94439,2,33826,0,11.46,10.43
1,68291,1,7625,0,11.13,8.94
1,14424,1,6601,5,9.58,8.79
1,23580,2,7890,1,10.07,8.97
1,56000,1,10070,0,10.93,9.22
1,11000,1,5341,0,9.31,8.58
1,32772,1,6839,0,10.40,8.83
1,18234,1,4231,0,9.81,8.35
2,3252,1,8311,0,8.09,9.03
1,61089,1,12180,0,11.02,9.41
1,208854,1,28480,1,12.25,10.26
1,96000,1,16725,2,11.47,9.72
1,145200,1,28593,0,11.89,10.26
1,42000,1,10319,0,10.65,9.24
2,17210,1,4987,0,9.75,8.51
1,75002,1,12205,0,11.23,9.41
1,12000,1,7363,0,9.39,8.90
1,42702,1,11714,0,10.66,9.37
1,62000,1,6008,0,11.03,8.70
1,75000,2,9440,0,11.23,9.15
1,43325,1,9366,0,10.68,9.14
2,74316,1,20252,0,11.22,9.92
1,80000,1,14554,2,11.29,9.59
1,33000,1,15291,1,10.40,9.64
1,17876,1,5500,0,9.79,8.61
1,34580,1,7970,2,10.45,8.98
2,38072,1,13026,0,10.55,9.47
1,150000,1,15792,0,11.92,9.67
1,168626,1,38758,2,12.04,10.57
1,9000,1,5892,3,9.10,8.68
1,73000,2,6866,0,11.20,8.83
1,56426,1,5653,0,10.94,8.64
1,18576,1,5014,0,9.83,8.52
2,22626,1,11407,0,10.03,9.34
1,108540,1,13178,0,11.59,9.49
1,100000,1,13980,0,11.51,9.55
1,32476,1,6425,3,10.39,8.77
2,31000,1,6223,1,10.34,8.74
1,388086,1,33573,0,12.87,10.42
1,32684,1,14385,0,10.39,9.57
1,262500,1,20233,0,12.48,9.92
1,70000,2,14261,1,11.16,9.57
1,129097,1,13540,0,11.77,9.51
1,210000,4,14354,0,12.25,9.57
1,19470,1,3206,0,9.88,8.07
1,27780,1,5276,0,10.23,8.57
1,578933,1,86511,2,13.27,11.37
1,6000,1,3757,0,8.70,8.23
1,14948,1,6219,1,9.61,8.74
1,52000,1,23599,2,10.86,10.07
1,15984,1,9678,0,9.68,9.18
1,109475,1,17549,0,11.60,9.77
2,16304,1,8271,2,9.70,9.02
1,13840,1,12723,0,9.54,9.45
1,43000,1,13890,0,10.67,9.54
1,52000,1,8712,1,10.86,9.07
1,86927,1,14931,1,11.37,9.61
1,373284,1,36451,2,12.83,10.50
2,40445,2,7305,0,10.61,8.90
1,32983,1,3549,0,10.40,8.17
1,58326,2,7183,0,10.97,8.88
1,210906,1,20052,0,12.26,9.91
1,12414,6,2091,0,9.43,7.65
1,184233,1,20361,0,12.12,9.92
1,12500,1,3376,0,9.43,8.12
1,156800,1,43185,3,11.96,10.67
1,12000,1,65606,2,9.39,11.09
1,129860,1,14752,0,11.77,9.60
1,312829,4,218448,1,12.65,12.29
1,2000,1,7654,0,7.60,8.94
1,26000,1,4801,3,10.17,8.48
1,51176,1,5841,0,10.84,8.67
1,41980,1,15667,3,10.64,9.66
1,343084,1,31227,3,12.75,10.35
1,258200,1,71753,1,12.46,11.18
1,39132,1,16702,0,10.57,9.72
1,33300,1,7635,0,10.41,8.94
1,32229,1,41882,0,10.38,10.64
1,2400,2,725,0,7.78,6.59
1,126000,1,19974,0,11.74,9.90
1,25960,1,17289,2,10.16,9.76
1,68000,1,9054,4,11.13,9.11
1,32000,1,9488,0,10.37,9.16
1,11304,2,1247,0,9.33,7.13
1,79836,1,10376,0,11.29,9.25
2,50000,1,25612,3,10.82,10.15
1,30000,6,10610,0,10.31,9.27
1,12000,1,4029,0,9.39,8.30
1,28226,1,6207,0,10.25,8.73
2,110041,1,14775,0,11.61,9.60
1,48285,1,13858,0,10.78,9.54
1,142154,2,18441,0,11.86,9.82
1,38826,1,10566,0,10.57,9.27
1,110426,1,36978,0,11.61,10.52
1,67000,1,6285,0,11.11,8.75
1,79968,1,46184,0,11.29,10.74
1,21126,2,6136,0,9.96,8.72
1,40000,1,9068,0,10.60,9.11
1,147100,1,21035,0,11.90,9.95
1,55000,1,17470,0,10.92,9.77
1,70000,4,10062,0,11.16,9.22
1,7200,1,4094,0,8.88,8.32
1,54915,1,8991,0,10.91,9.10
1,107010,1,17966,0,11.58,9.80
1,30000,1,15777,0,10.31,9.67
2,18108,1,3711,0,9.80,8.22
1,70000,1,21865,1,11.16,9.99
1,16194,1,6090,0,9.69,8.71
1,1600,2,6258,0,7.38,8.74
1,80000,1,11432,0,11.29,9.34
1,37625,1,9199,0,10.54,9.13
1,89416,1,14445,3,11.40,9.58
1,110000,1,23035,3,11.61,10.04
1,10000,1,1672,0,9.21,7.42
1,98000,1,20112,0,11.49,9.91
1,3600,2,5775,1,8.19,8.66
1,67656,1,17673,1,11.12,9.78
1,43000,1,14247,0,10.67,9.56
1,2501,1,17537,2,7.82,9.77
1,180000,5,15682,1,12.10,9.66
1,62876,1,18082,0,11.05,9.80
1,120000,1,6757,0,11.70,8.82
1,81956,1,9386,0,11.31,9.15
1,75000,2,10377,0,11.23,9.25
1,43000,1,13944,0,10.67,9.54
