UrbanRural,Race,KidsCount,LogIncome,LogExpenditure
1,1,3,11.20802941,10.22346739
1,1,2,9.392661929,8.911327683
1,1,0,9.903487553,9.060389207
1,1,0,11.77912851,9.924771925
1,2,0,11.50287513,9.21981038
1,1,0,9.811372264,9.168762884
1,1,0,12.01025847,10.26028749
1,1,1,10.46310334,9.316095819
1,1,0,10.08580911,8.373669181
1,1,0,11.46163217,9.325898722
1,2,0,11.4557094,10.42899979
1,1,0,11.13153327,8.939181031
1,1,5,9.576648765,8.794976432
1,2,1,10.06815417,8.973414771
1,1,0,10.93310697,9.217340812
1,1,0,9.305650552,8.583074579
1,1,0,10.39732977,8.830396801
1,1,0,9.811043262,8.350193651
2,1,0,8.087025471,9.025305136
1,1,0,11.0200871,9.407562848
1,1,1,12.24939072,10.25694976
1,1,2,11.47210347,9.724659879
1,1,0,11.88586738,10.26093462
1,1,0,10.6454249,9.241766362
2,1,0,9.753245889,8.514589806
1,1,0,11.22527006,9.409560023
1,1,0,9.392661929,8.904222737
1,1,0,10.66200104,9.368539987
1,1,0,11.03488966,8.700805581
1,2,0,11.22524339,9.152658302
1,1,0,10.67648511,9.144830723
2,1,0,11.21608155,9.916008833
1,1,2,11.28978191,9.585621149
1,1,1,10.40426284,9.635036055
1,1,0,9.79121431,8.612503371
1,1,2,10.45103076,8.983408391
2,1,0,10.54723438,9.474702639
1,1,0,11.91839057,9.667229202
1,1,2,12.03543852,10.56509247
1,1,3,9.104979856,8.681325319
1,2,0,11.19821472,8.834373399
1,1,0,10.94068532,8.639985898
1,1,0,9.829625704,8.519989279
2,1,0,10.02685497,9.341982481
1,1,0,11.59487405,9.486319228
1,1,0,11.51292546,9.545368702
1,1,3,10.38825663,8.767913014
2,1,1,10.34174248,8.736007401
1,1,0,12.86898224,10.42146803
1,1,0,10.39464094,9.573941276
1,1,0,12.47800636,9.915094921
1,2,1,11.15625052,9.565266287
1,1,0,11.76831934,9.513366618
1,4,0,12.25486281,9.571801345
1,1,0,9.876630098,8.072623363
1,1,0,10.23207162,8.570923514
1,1,2,13.26894203,11.36802146
1,1,0,8.699514748,8.231309501
1,1,1,9.612332791,8.735356377
1,1,2,10.858999,10.06895043
1,1,0,9.679343501,9.177610547
1,1,0,11.60345149,9.772780733
2,1,2,9.699165755,9.020480473
1,1,0,9.535318229,9.451166658
1,1,0,10.66895539,9.538902837
1,1,1,10.858999,9.072491088
1,1,1,11.37282396,9.61116138
1,1,2,12.8300948,10.50371822
2,2,0,10.60769831,8.896307493
1,1,0,10.40374756,8.174350708
1,2,0,10.97380324,8.879472402
1,1,0,12.25916782,9.906108285
1,6,0,9.426580147,7.645397699
1,1,0,12.12395654,9.921388864
1,1,0,9.433483923,8.124446885
1,1,3,11.96272639,10.67323692
1,1,2,9.392661929,11.09142015
1,1,0,11.77421223,9.599150893
1,4,1,12.65341199,12.29430313
1,1,0,7.60090246,8.942983653
1,1,3,10.16585182,8.47663158
