UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ,KidsCount,LogIncome,LogExpenditure,
1,73720,1,27542.0001,3,11.20802941,10.22346739,
1,12000,1,7415.5,2,9.392661929,8.911327683,
1,20000,1,8607.5001,0,9.903487553,9.060389207,
1,130500,1,20430.25,0,11.77912851,9.924771925,
1,99000,2,10095.1499,0,11.50287513,9.21981038,
1,18240,1,9592.75,0,9.811372264,9.168762884,
1,164433,1,28575,0,12.01025847,10.26028749,
1,35000,1,11115.5001,1,10.46310334,9.316095819,
1,24000,1,4331.5,0,10.08580911,8.373669181,
1,95000,1,11225.0001,0,11.46163217,9.325898722,
1,94439,2,33826.4999,0,11.4557094,10.42899979,
1,68291,1,7624.9499,0,11.13153327,8.939181031,
1,14424,1,6601,5,9.576648765,8.794976432,
1,23580,2,7890.4999,1,10.06815417,8.973414771,
1,56000,1,10070.25,0,10.93310697,9.217340812,
1,11000,1,5340.5001,0,9.305650552,8.583074579,
1,32772,1,6839,0,10.39732977,8.830396801,
1,18234,1,4231,0,9.811043262,8.350193651,
2,3252,1,8310.75,0,8.087025471,9.025305136,
1,61089,1,12180.1499,0,11.0200871,9.407562848,
1,208854,1,28479.7833,1,12.24939072,10.25694976,
1,96000,1,16724.9999,2,11.47210347,9.724659879,
1,145200,1,28593.4977,0,11.88586738,10.26093462,
1,42000,1,10319.25,0,10.6454249,9.241766362,
2,17210,1,4987,0,9.753245889,8.514589806,
1,75002,1,12204.5001,0,11.22527006,9.409560023,
1,12000,1,7363,0,9.392661929,8.904222737,
1,42702,1,11714,0,10.66200104,9.368539987,
1,62000,1,6007.75,0,11.03488966,8.700805581,
1,75000,2,9439.5001,0,11.22524339,9.152658302,
1,43325,1,9365.9001,0,10.67648511,9.144830723,
2,74316,1,20252,0,11.21608155,9.916008833,
1,80000,1,14554,2,11.28978191,9.585621149,
1,33000,1,15291.2501,1,10.40426284,9.635036055,
1,17876,1,5500,0,9.79121431,8.612503371,
1,34580,1,7969.7499,2,10.45103076,8.983408391,
2,38072,1,13026,0,10.54723438,9.474702639,
1,150000,1,15791.5332,0,11.91839057,9.667229202,
1,168626,1,38758.0001,2,12.03543852,10.56509247,
1,9000,1,5891.85,3,9.104979856,8.681325319,
1,73000,2,6866.2501,0,11.19821472,8.834373399,
1,56426,1,5653.2501,0,10.94068532,8.639985898,
1,18576,1,5014,0,9.829625704,8.519989279,
2,22626,1,11407,0,10.02685497,9.341982481,
1,108540,1,13178.2,0,11.59487405,9.486319228,
1,100000,1,13979.7999,0,11.51292546,9.545368702,
1,32476,1,6424.7501,3,10.38825663,8.767913014,
2,31000,1,6223.0001,1,10.34174248,8.736007401,
1,388086,1,33572.6838,0,12.86898224,10.42146803,
1,32684,1,14385,0,10.39464094,9.573941276,
1,262500,1,20233.4999,0,12.47800636,9.915094921,
1,70000,2,14260.75,1,11.15625052,9.565266287,
1,129097,1,13539.5,0,11.76831934,9.513366618,
1,210000,4,14354.25,0,12.25486281,9.571801345,
1,19470,1,3205.5,0,9.876630098,8.072623363,
1,27780,1,5276,0,10.23207162,8.570923514,
1,578933,1,86510.5332,2,13.26894203,11.36802146,
1,6000,1,3756.75,0,8.699514748,8.231309501,
1,14948,1,6218.9501,1,9.612332791,8.735356377,
1,52000,1,23598.7833,2,10.858999,10.06895043,
1,15984,1,9678,0,9.679343501,9.177610547,
1,109475,1,17549.4999,0,11.60345149,9.772780733,
2,16304,1,8270.75,2,9.699165755,9.020480473,
1,13840,1,12723,0,9.535318229,9.451166658,
1,43000,1,13889.7,0,10.66895539,9.538902837,
1,52000,1,8712.2999,1,10.858999,9.072491088,
1,86927,1,14930.5,1,11.37282396,9.61116138,
1,373284,1,36450.7832,2,12.8300948,10.50371822,
2,40445,2,7304.9501,0,10.60769831,8.896307493,
1,32983,1,3548.75,0,10.40374756,8.174350708,
1,58326,2,7183,0,10.97380324,8.879472402,
1,210906,1,20052.4834,0,12.25916782,9.906108285,
1,12414,6,2091,0,9.426580147,7.645397699,
1,184233,1,20361.25,0,12.12395654,9.921388864,
1,12500,1,3376.0001,0,9.433483923,8.124446885,
1,156800,1,43184.5001,3,11.96272639,10.67323692,
1,12000,1,65605.8499,2,9.392661929,11.09142015,
1,129860,1,14752.25,0,11.77421223,9.599150893,
1,312829,4,218447.9665,1,12.65341199,12.29430313,
1,2000,1,7653.9999,0,7.60090246,8.942983653,
1,26000,1,4801.25,3,10.16585182,8.47663158,
1,51176,1,5841,0,10.84302595,8.672657294,
1,41980,1,15666.9999,3,10.64494859,9.659311862,
1,343084,1,31226.5001,3,12.74573059,10.34902238,
1,258200,1,71753.184,1,12.46148976,11.18098751,
1,39132,1,16702,0,10.57469583,9.723283752,
1,33300,1,7635,0,10.41331268,8.940498218,
1,32229,1,41882.2499,0,10.38062195,10.64261739,
1,2400,2,725,0,7.783224016,6.586171655,
1,126000,1,19973.5332,0,11.74403719,9.902163336,
1,25960,1,17288.6333,2,10.16431217,9.75780453,
1,68000,1,9054.4999,4,11.12726298,9.11101714,
1,32000,1,9488,0,10.37349118,9.157783121,
1,11304,2,1247.2501,0,9.332911924,7.128696487,
1,79836,1,10376.25,0,11.28772981,9.24727482,
2,50000,1,25612.1501,3,10.81977828,10.15082213,
1,30000,6,10609.75,0,10.30895266,9.269528669,
1,12000,1,4029.3001,0,9.392661929,8.301347967,
1,28226,1,6207,0,10.24799882,8.733432966,
2,110041,1,14775.0002,0,11.6086083,9.600691856,
1,48285,1,13857.7501,0,10.78487623,9.536599929,
1,142154,2,18440.7,0,11.86466626,9.822315457,
1,38826,1,10566,0,10.5668454,9.265396578,
1,110426,1,36978.4501,0,11.61210089,10.51809059,
1,67000,1,6284.5001,0,11.1124479,8.745841579,
1,79968,1,46184.0499,0,11.28938183,10.74038978,
1,21126,2,6135.5,0,9.958259788,8.721846853,
1,40000,1,9068,0,10.59663473,9.112507012,
1,147100,1,21035.2501,0,11.89886791,9.953954886,
1,55000,1,17470.0001,0,10.91508846,9.768240409,
1,70000,4,10061.7501,0,11.15625052,9.216496395,
1,7200,1,4094,0,8.881836305,8.317277766,
1,54915,1,8990.5001,0,10.91354181,9.103923754,
1,107010,1,17966,0,11.58067757,9.796236362,
1,30000,1,15776.75,0,10.30895266,9.666292616,
2,18108,1,3711,0,9.804109109,8.219056661,
1,70000,1,21864.75,1,11.15625052,9.99263103,
1,16194,1,6090,0,9.692396082,8.714403361,
1,1600,2,6258,0,7.377758908,8.741615924,
1,80000,1,11432,0,11.28978191,9.34417172,
1,37625,1,9198.9999,0,10.535424,9.126850051,
1,89416,1,14444.75,3,11.40105492,9.578086306,
1,110000,1,23034.75,3,11.60823564,10.04475922,
1,10000,1,1672.2499,0,9.210340372,7.421925244,
1,98000,1,20111.7833,0,11.49272276,9.909061156,
1,3600,2,5774.95,1,8.188689124,8.661284877,
1,67656,1,17673.2501,1,11.12219132,9.779807482,
1,43000,1,14246.8499,0,10.66895539,9.564291102,
1,2501,1,17537,2,7.824445931,9.772068214,
1,180000,5,15681.5,1,12.10071213,9.660236953,
1,62876,1,18081.8,0,11.04891981,9.802661187,
1,120000,1,6757.2832,0,11.69524702,8.818376195,
1,81956,1,9386.1999,0,11.3139378,9.146995794,
1,75000,2,10376.5999,0,11.22524339,9.24730854,
1,43000,1,13944.2499,0,10.66895539,9.542822509,
2,27071,1,4375.6501,0,10.20621832,8.383810382,
1,121000,1,16595.5001,0,11.70354582,9.716886859,
1,39588,1,8755.2499,0,10.58628132,9.077408788,
1,7800,1,6891.5001,4,8.961879013,8.838044062,
1,47437,1,10697.25,0,10.76715779,9.277741978,
1,109686,1,14103.8,0,11.60537702,9.554199544,
1,136,1,19189,0,4.912654886,9.862092477,
1,53000,1,8412.3501,0,10.87804719,9.037456155,
1,89101,1,17068.7498,1,11.39752584,9.745004574,
1,89000,1,14653.7499,1,11.39639165,9.592451548,
1,140000,1,26049.5,0,11.8493977,10.16775385,
2,17837,1,6324.25,0,9.789030231,8.752146729,
1,40328,2,8308.85,0,10.6048013,9.025076491,
1,25428,1,11426,0,10.14360621,9.343646739,
1,79000,1,14767.7999,1,11.27720313,9.600204407,
1,29500,1,11006.4999,0,10.29214554,9.306241277,
1,90102,1,12635,0,11.40869764,9.44422602,
1,83000,1,11390.5001,1,11.32659589,9.340534962,
1,20052,1,20607.75,0,9.906084178,9.933422498,
1,29026,1,5809,0,10.27594726,8.667163718,
1,15300,1,8633.5,1,9.635608107,9.063405264,
1,66372,1,26939,0,11.10303056,10.20133033,
1,8500,4,6341.5001,0,9.047821442,8.754870628,
1,70000,1,12231.7501,0,11.15625052,9.411790317,
1,343084,1,31271.7833,0,12.74573059,10.35047148,
1,109200,1,15329.5001,0,11.60093634,9.637534362,
1,12132,1,2281,0,9.403601869,7.732369222,
2,19446,1,4253,0,9.875396672,8.355379895,
1,93670,1,17752.75,0,11.44753325,9.784295712,
1,109000,1,15458.1001,2,11.59910316,9.645888423,
1,67000,1,14595.5001,3,11.1124479,9.588468548,
1,100000,1,43339.3501,0,11.51292546,10.67681628,
1,43000,2,9454.7999,0,10.66895539,9.154277817,
1,74000,1,12412,0,11.21182037,9.426419026,
2,9926,1,4024.05,0,9.202912856,8.300044137,
1,143000,1,11684.7499,1,11.87059991,9.366039843,
1,4999,4,8735.4999,0,8.516993171,9.07515045,
1,228000,1,20180.25,0,12.33710091,9.912459682,
1,60000,1,11138.25,0,11.00209984,9.31814041,
1,63920,1,13358.5,0,11.06538758,9.499908165,
1,44252,6,9633.0499,0,10.69765585,9.172955163,
1,62020,1,12965.7001,1,11.03521219,9.470062696,
1,9458,2,2014,0,9.154616223,7.607878073,
1,97040,1,39873,0,11.48287854,10.59345468,
1,90000,1,19246.25,0,11.40756495,9.865071516,
1,31700,1,6212.2,0,10.36407196,8.73427038,
1,49000,1,16127.4501,0,10.79957558,9.688278074,
1,30000,1,7517.75,0,10.30895266,8.92502217,
1,128305,1,47609.4952,0,11.76216552,10.7707875,
1,345084,1,22825.2832,0,12.75154314,10.03562411,
1,49462,1,5734.5,0,10.80895998,8.654255842,
1,156000,1,28358.2832,3,11.95761129,10.25267444,
1,50000,1,13672.25,0,10.81977828,9.52312351,
1,2270,1,9871,0,7.72753511,9.197356444,
1,230000,1,64107.783,0,12.34583459,11.06832106,
1,13800,1,6116.5,2,9.532423871,8.718745316,
1,60000,1,10129.5,0,11.00209984,9.223207238,
1,123253,1,23732.5,0,11.72199443,10.0746007,
1,110000,1,12529.75,0,11.60823564,9.435861096,
1,15210,1,3786,0,9.629708385,8.239065332,
1,41906,1,7869,0,10.64318429,8.970686269,
1,214474,1,19507.7499,0,12.2759438,9.878567096,
1,39372,1,13374,0,10.58081018,9.501067803,
1,87000,1,15303.7499,0,11.3736634,9.635853169,
2,123600,1,26482.7501,2,11.72480582,10.18424886,
1,28700,1,8070.7501,1,10.2646524,8.996001706,
1,63000,1,12963.0001,0,11.05089001,9.469854432,
1,203000,1,20403.7499,0,12.22096126,9.923473982,
1,14822,1,4123,0,9.603867843,8.324336333,
1,37626,1,4615.5,0,10.53545058,8.437175483,
2,20786,1,9167,0,9.942034962,9.123365358,
1,13578,1,10611,0,9.516206115,9.269646478,
1,34000,1,8606.8499,0,10.4341158,9.060313665,
1,172000,4,26464.5001,1,12.05524976,10.1835595,
1,42200,1,7230.15,1,10.6501755,8.886015062,
1,78600,1,14732.2499,1,11.27212698,9.59779424,
1,95000,1,10337.7501,0,11.46163217,9.243557533,
1,9805,1,10868.1499,6,9.190647739,9.293591763,
1,14412,6,6278,0,9.575816472,8.744806737,
1,18000,1,6351.25,4,9.798127037,8.756406923,
1,215000,1,22792,0,12.27839331,10.03416488,
1,65000,1,41248.2501,1,11.08214255,10.62736397,
1,29000,1,6149,0,10.27505111,8.724044746,
1,413084,1,18613.2501,2,12.93140624,9.831628977,
1,70000,1,17593.6,0,11.15625052,9.775290479,
1,50000,1,8414.4999,0,10.81977828,9.037711675,
1,21000,1,5324.7501,0,9.952277717,8.58012106,
2,54626,1,8262,0,10.90826524,9.019421968,
1,140750,2,25460.7833,2,11.85474055,10.14489464,
1,25633,2,7903.0001,0,10.15163586,8.974997726,
1,143514,1,32378.5,1,11.87418787,10.3852499,
1,31000,4,13909.9499,3,10.34174248,9.540359683,
1,63000,1,10145.5999,2,11.05089001,9.224795383,
1,12288,1,8743.95,3,9.416378455,9.076117312,
1,33107,1,4750.5001,0,10.40750002,8.466005176,
1,20000,2,2381.5,0,9.903487553,7.77548582,
1,16280,1,6451.25,0,9.69769264,8.772029189,
1,87000,1,18293.0502,0,11.3736634,9.814276496,
1,36552,1,11685.0001,0,10.50649118,9.366061256,
1,45328,4,9927.5001,0,10.72168022,9.203063973,
1,48000,1,9794.95,5,10.77895629,9.189622226,
1,13107,1,3970,0,9.480901718,8.286521374,
2,38556,1,2463.7001,1,10.55986701,7.809419605,
1,76400,1,25524.75,0,11.24373798,10.14740385,
1,24278,1,9691,0,10.09732587,9.178952899,
1,107200,1,13429.75,1,11.58245153,9.505227674,
1,24000,4,8614.7,0,10.08580911,9.061225325,
1,100000,1,16354.5001,0,11.51292546,9.702258374,
1,45600,1,6373.6499,0,10.727663,8.759927567,
1,384334,1,29084.5664,0,12.85926725,10.27796295,
1,40050,1,7249,0,10.59788395,8.888618807,
1,7200,1,1495.7501,0,8.881836305,7.310383099,
1,51000,1,5139.5001,0,10.83958091,8.544711097,
1,17958,1,2587,0,9.795790977,7.858254182,
1,92000,1,14892.5,0,11.42954386,9.60861301,
1,343084,1,20541.5001,0,12.74573059,9.930202514,
1,50826,1,10384,0,10.83616331,9.248021439,
1,19156,1,9637.1501,0,9.860371261,9.173380711,
1,27300,1,28510.2832,0,10.21464198,10.25802012,
1,57035,1,12879.2501,0,10.95142039,9.463372776,
1,35400,1,12864.2001,0,10.4744671,9.462203546,
1,110812,1,13921,0,11.61559035,9.54115377,
1,131433,1,11175,0,11.7862525,9.321434419,
1,42126,1,26240.5001,0,10.64842041,10.1750593,
1,2200,1,4840,0,7.696212639,8.48467,
1,12000,1,4101.7999,0,9.392661929,8.319181156,
1,107340,1,12196,0,11.58375665,9.408863308,
1,32000,1,7965,0,10.37349118,8.982812222,
1,18612,1,6574,0,9.831561813,8.790877754,
1,11100,3,4354.2499,4,9.314700387,8.378907636,
1,72000,4,18453,2,11.1844214,9.822982238,
1,25607,1,5605.2501,0,10.15062103,8.631458955,
1,44140,1,11984,0,10.69512168,9.391327706,
1,37676,1,18963.2501,0,10.53677857,9.85025818,
1,10614,2,2867,0,9.269929163,7.961021466,
1,95000,1,8940.0001,0,11.46163217,9.098290879,
1,1626,1,12632,0,7.39387829,9.443988556,
1,28000,2,7769.5,1,10.23995979,8.957961091,
2,40550,1,4375.5999,2,10.61029106,8.383798909,
1,23736,1,4583.9999,0,10.07474816,8.430327237,
1,110200,1,24350.7501,0,11.61005218,10.10031793,
1,84000,1,15602.6001,2,11.33857208,9.655192852,
1,55000,2,10699.0001,1,10.91508846,9.277905567,
1,343084,1,35021.5332,0,12.74573059,10.46371839,
1,165640,1,34487.2501,1,12.01757204,10.44834497,
1,49452,1,17404,0,10.80875778,9.764455344,
1,92000,1,34921.5001,0,11.42954386,10.46085797,
1,343329,1,44254.5,1,12.74644445,10.69771234,
