UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ,KidsCount,LogIncome,LogExpenditure
1,40610,1,20218.68,2,10.66070062,8.821703958
1,372273,1,17492.01,2,12.82104028,9.528369274
1,20276,1,16646.82,0,7.446116,8.970383291
1,60494,1,15980.88,0,10.64963362,8.834794
1,72601,1,4087.70,0,11.10549148,8.753415
1,67499,1,11764.39,0,10.86676615,8.912915956
1,37701,4,9107.93,3,10.38706147,8.547063
1,110597,1,20284.53,0,11.71377594,9.907210242
1,166883,1,25045.94,0,11.75098779,10.09933366
1,172006,1,3709.50,0,12.37162993,8.690103551
1,91638,1,14101.77,1,11.41833804,9.55219219
2,120258,2,3444.76,0,11.89729519,8.986304086
1,13621,1,2438.52,0,10.58988933,9.077495
1,516089,1,32060.99,1,13.26874768,10.33706492
1,29765,1,17030.28,0,10.5794333,7.941769629
1,12118,1,12958.08,4,9.945068216,7.851240
1,43743,1,16139.67,0,9.157990996,6.842188518
1,95220,1,5747.56,0,11.25386952,9.830262012
1,38969,1,6155.69,0,9.84039316,9.363511
1,43380,1,9210.46,4,7.507977379,9.840465177
1,110925,1,42409.10,2,11.90196642,10.82702497
1,35112,1,15356.84,0,7.780402274,9.239120007
1,91193,1,20209.42,0,10.84890051,9.154708
1,512644,1,11530.47,0,13.18485819,9.409510189
1,22750,1,11885.15,0,9.803628,7.588016159
1,52904,1,21141.03,1,11.08686025,9.171290489
1,20929,1,4137.29,2,9.180074131,7.608562236
1,173325,1,37983.22,0,11.78318053,10.04602689
1,139846,1,16920.89,2,11.60776053,8.977786365
1,46471,1,18052.09,0,10.55455439,8.602830692
1,70957,1,16039.76,1,11.30269776,7.966289469
1,41612,1,3400.80,0,10.71661826,9.46173541
1,12597,4,14149.93,0,10.51729565,8.598422249
1,38720,1,19730.18,0,10.60077419,9.016351378
2,26423,1,12070.58,0,9.558367939,6.725247232
1,48747,1,7770.38,0,11.0966731,8.930092364
1,82600,1,20278.84,0,11.07287729,8.835572578
1,19233,1,12034.74,0,8.391508707,8.976551817
2,39670,1,30099.72,0,9.975868287,10.18964129
1,32153,1,13151.21,1,10.84380379,9.336762
1,48128,4,17188.90,0,11.21664998,8.731603113
1,71752,2,4951.54,0,10.63797572,8.623967086
1,41722,1,433.15,0,10.98855741,9.244912876
1,11801,1,11343.97,0,10.45791322,7.384058962
1,255567,1,20105.36,0,12.25504087,9.615266778
2,89832,1,14556.49,1,11.39619429,9.351580247
1,9266,1,13507.70,0,5.877032,8.26718227
1,27325,1,13441.97,0,10.6166021,7.801884031
1,59520,1,10661.68,0,11.37806024,8.561616875
1,94489,1,15633.14,1,11.40802988,8.532174383
1,134577,1,5395.54,0,11.82431924,8.870414496
1,69564,1,19051.20,2,11.24461512,8.537674055
