UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ,KidsCount,LogIncome,LogExpenditure
1,40610,1,20219,2,10.66,8.82
1,372273,1,17492,2,12.82,9.53
1,20276,1,16647,0,7.45,8.97
1,60494,1,15981,0,10.65,8.83
1,72601,1,4088,0,11.11,8.75
1,67499,1,11764,0,10.87,8.91
1,37701,4,9108,3,10.39,8.55
1,110597,1,20285,0,11.71,9.91
1,166883,1,25046,0,11.75,10.10
1,172006,1,3710,0,12.37,8.69
1,91638,1,14102,1,11.42,9.55
2,120258,2,3445,0,11.90,8.99
1,13621,1,2439,0,10.59,9.08
1,516089,1,32061,1,13.27,10.34
1,29765,1,17030,0,10.58,7.94
1,12118,1,12958,4,9.95,7.85
1,43743,1,16140,0,9.16,6.84
1,95220,1,5748,0,11.25,9.83
1,38969,1,6156,0,9.84,9.36
1,43380,1,9210,4,7.51,9.84
1,110925,1,42409,2,11.90,10.83
1,35112,1,15357,0,7.78,9.24
1,91193,1,20209,0,10.85,9.15
1,512644,1,11530,0,13.18,9.41
1,22750,1,11885,0,9.80,7.59
1,52904,1,21141,1,11.09,9.17
1,20929,1,4137,2,9.18,7.61
1,173325,1,37983,0,11.78,10.05
1,139846,1,16921,2,11.61,8.98
1,46471,1,18052,0,10.55,8.60
1,70957,1,16040,1,11.30,7.97
1,41612,1,3401,0,10.72,9.46
1,12597,4,14150,0,10.52,8.60
1,38720,1,19730,0,10.60,9.02
2,26423,1,12071,0,9.56,6.73
1,48747,1,7770,0,11.10,8.93
1,82600,1,20279,0,11.07,8.84
1,19233,1,12035,0,8.39,8.98
2,39670,1,30100,0,9.98,10.19
1,32153,1,13151,1,10.84,9.34
1,48128,4,17189,0,11.22,8.73
1,71752,2,4952,0,10.64,8.62
1,41722,1,433,0,10.99,9.24
1,11801,1,11344,0,10.46,7.38
1,255567,1,20105,0,12.26,9.62
2,89832,1,14556,1,11.40,9.35
1,9266,1,13508,0,5.88,8.27
